keys,en,fr,nl
pet.growth_curve_is_calculated_automatically,"This growth curve is calculated automatically, if you believe it isn't the right one for your dog please call us on 02 808 13 58 so we can tailor it to your pup's special needs.","",""
pet.x_is_too_young,"{0} is too young for now but if you want to order in advance, enter 2 months as age and the weight your puppy is supposed to weight at that time.","",""
pet.breed.i_dont_know,"I don't know the breed","",""
pet.breed.select,"Select a breed...","",""
pet.breed.other,"Other breed / Mongrel (Mixed race)","",""
pet.gender.boy,"Boy","",""
pet.gender.girl,"Girl","",""
pet.eating_habit.picky,"Picky","",""
pet.eating_habit.good,"Good eater","",""
pet.eating_habit.gluton,"Will eat anything","",""
pet.activity_level.lazy,"Lazy","",""
pet.activity_level.lazy_desc,"{0} likes to chill in its basket and he doesn’t stand up to welcome you when you come back home.","",""
pet.activity_level.active,"Active","",""
pet.activity_level.active_desc,"{0} is a normal pet which plays in the garden or walks around in its favorite park from time to time.","",""
pet.activity_level.athletic,"Athletic","",""
pet.activity_level.athletic_desc,"{0} does at least several hours per week of intensive sport and/or running. Every athletic dog is different so you will be able to change his daily food portion as you wish. Feel free to contact us if you need advice.","",""
pet.body_composition.skinny,"Skinny","",""
pet.body_composition.skinny_desc,"{0}'s ribs are visible, no palpable fat, obvious waist and abdominal tuck.","",""
pet.body_composition.ideal,"Ideal","",""
pet.body_composition.ideal_desc,"{0}'s ribs can be felt, not necessarily seen. The stomach is raised.","",""
pet.body_composition.chunky,"Chunky","",""
pet.body_composition.chunky_desc,"{0}'s ribs are palpable with difficulty, heavy fat cover. Waist barely visible.","",""
pet.body_composition.obese,"Obese","",""
pet.body_composition.obese_desc,"{0} has fat deposits all over thorax, spine and base. Waist absent, obvious abdominal distention.","",""
pet.allergy.beef,"Beef","",""
pet.allergy.chicken,"Chicken","",""
pet.allergy.duck,"Duck","",""
pet.allergy.fish,"Fish","",""
pet.allergy.rice,"Rice","",""
pet.allergy.potatoes,"Potatoes","",""
pet.allergy.quinoa,"Quinoa","",""
pet.allergy.sweet_potatoes,"Sweet potatoes","",""
pet.previous_food.kibble,"Kibble","",""
pet.previous_food.wet,"Wet food","",""
pet.previous_food.raw_meat,"Raw meat","",""
pet.previous_food.homemade,"Home-made food","",""
pet.disease.self_plural,"Diseases","",""
pet.disease.cancer,"Cancer","",""
pet.disease.cancer_desc,"For your dog with cancer, choose the recipes with the least amount of carbohydrates: duck and beef.","",""
pet.disease.epilepsy,"Epilepsy","",""
pet.disease.epilepsy_desc,"Your dog with epilepsy can eat our Dog Chef recipes without any problems.","",""
pet.disease.cushing,"Cushing disease","",""
pet.disease.cushing_desc,"Your dog with Cushing's disease can eat our Dog Chef recipes without any problems.","",""
pet.disease.hypothyroidism,"Hypothyroidism","",""
pet.disease.hypothyroidism_desc,"Your dog with a slow working thyroid can eat our Dog Chef recipes without any problems.","",""
pet.disease.heart_failure,"Heart failure","",""
pet.disease.heart_failure_desc,"If your dog has a heart problem, we give him a different mineral and vitamin preparation low in phosphorus and salt and supplemented with taurine. Your dog can eat all our recipes without any problems. If your dog needs a high restriction in salt, you can only offer our chicken recipe.","",""
pet.disease.diabetes,"Diabetes","",""
pet.disease.diabetes_desc,"Diabetes patients can be very fat or too thin because they need a low glycemic load to stabilize their sugar level, Dog Chef is not suitable as the only meal.","",""
pet.disease.inflammatory_bowel,"Inflammatory Bowel Disease","",""
pet.disease.inflammatory_bowel_desc,"Many dogs with intestinal problems feel better when they eat fresh meals. Inflamatory Bowel Disease often also has an immunological component, which is why we recommend the hypoallergenic meals duck and fish.  Some dogs benefit from a lot of fibre, some can only tolerate a small amount of fibre, so a trial pack is definitely recommended.","",""
pet.disease.pancreatitis,"Pancreatitis","",""
pet.disease.pancreatitis_desc,"If your dog has pancreatitis it can be acute or chronic, please contact our vet to see what is possible in terms of Dog Chef food.","",""
pet.disease.pancreatitis_failure,"Exocrine Pancreatitis (EPI)","",""
pet.disease.pancreatitis_failure_desc,"Many dogs with exocrine pancreatitis feel better when they eat fresh meals. Our recipe with the lowest fat percentage is chicken.","",""
pet.disease.stomach_problems,"Stomach problems","",""
pet.disease.stomach_problems_desc,"Many dogs with stomach problems feel better when they eat fresh meals and our recipes are suitable for most stomach problems.","",""
pet.disease.urolithiasis,"Urolithiasis","",""
pet.disease.urolithiasis_desc,"Dissolving bladder stones with a Dog Chef recipe does not work, but the meals can be given for prevention.","",""
pet.disease.kidney_disease,"Kidney Disease","",""
pet.disease.kidney_disease_desc,"If your dog is in IRIS 1 stage you can feed him with Dog Chef. If your dog is at another stage we can help with certain recipes. Do not hesitate to contact our vet via email for more information.","",""
pet.disease.liver,"Liver disease","",""
pet.disease.liver_desc,"We can help many patients with liver disease, but one disease is not the other. Some recipes are possible, others are not. Do not hesitate to contact our vet via email to see what is possible in terms of Dog Chef food.","",""
pet.disease.skin_problems,"Skin problems","",""
pet.disease.skin_problems_desc,"Your dog with skin problems can eat our Dog Chef recipes without problems. If he is allergic, know that our meals with duck and fish are hypoallergenic.","",""
pet.disease.joint_problems,"Joint problems","",""
pet.disease.joint_problems_desc,"Your dog with joint problems can eat our Dog Chef recipes without any problems. You can combine the meals with joint nourishing supplements.","",""
pet.special_condition.self_plural,"Special conditions","",""
pet.special_condition.gestation,"Gestation","",""
pet.special_condition.gestation_desc,"During gestation your dog can eat the Dog Chef recipes without any problems.","",""
pet.special_condition.lactation,"Lactation","",""
pet.special_condition.lactation_desc,"During lactation your dog can eat the Dog Chef recipes without any problems.","",""
